,id,input_text,finetune_prediction,predefined_prediction,manual_answer,finetune_accuracy,pretrained_prediction_cleaned
19,20,"Javid Dhankwala, a Microsoft manager of 10 employees in Seattle, denies charges",managerOf,denies,managerOf,1,noRelation
20,21,He started taking the packs with him so now I call his work phone and pretend to be one of the managers and tell him to come back to the body shop for a sec so I can get into his desk,employedBy,tell,managerOf,0,noRelation
21,22,jimin is the new manager of my coffee shop since my other one quit last week.,managerOf,is new manager,managerOf,1,noRelation
22,23,I don’t like being manager of the shop. This is too much drama. I just like the benefits,employedBy,is,managerOf,0,noRelation
23,24,"The manager of a fruit-and-vegetable shop places in his window, among the onions and carrots, the slogan",managerOf,of manager is,managerOf,1,noRelation
24,25,No one will take care of you better than a smoke shop manager.,managerOf,,managerOf,1,noRelation
25,26,Ah ye loads of employed people able to gather during the middle of the day to rob shops. Must all have very understanding managers,managerOf,,managerOf,1,noRelation
26,27,brah the manager at my work keeps trying to make me do the back of the shop where u make the food instead of the front where u take orders PLSS HABIBTI JUST LET ME MAKE DRINKS AND TAKE ORDERS,employedBy,back of,managerOf,0,noRelation
27,28,Carry gun and go and hold the manager of any Betnaija shop to give you 3 sure odds or else,managerOf,,managerOf,1,noRelation
28,29,He's the president meat cutter manager of a sammich shop and king of the neighborhood!!!!,employedBy,has,managerOf,0,noRelation
29,30,He was the manager of a hobby shop. I talked about how he criticized our work and how kind he was to young customers and beginners. I think that was his life.,managerOf,was manager of,managerOf,1,managerOf
30,31,The former Ohio State Director of Football video AND Assistant Football Video Coordinator are both employed by catapult as senior engineers. Very interesting stuff,managerOf,are,employedBy,0,noRelation
31,32,"He is employed by the Biden Pentagon, in charge of their department that oversees Elementary Schools.",managerOf,is employed by,employedBy,0,employedBy
32,33,120k people are employed by the housing programme. New jobs. New employees.,managerOf,are employed by,employedBy,0,employedBy
33,34,Do you know how many Igbos are employed by the Lagos State Civil Service Commission? ,managerOf,are employed by,employedBy,0,employedBy
34,35,"Culinary Union members employed at Wynn Resorts have voted by 99% YES to ratify their new 5-year BEST CONTRACT EVER! Congratulations to 5,000 hospitality workers!",managerOf,employed at,employedBy,0,employedBy
35,36,"On our streets, employed by someone, using our services!!! Make it famous",managerOf,,employedBy,0,noRelation
36,37,18-35 who had been employed by them will maybe vote for them.,employedBy,,employedBy,1,noRelation
37,38,The weapon is employed by the Ukrainians for combating Russian UAVs and loitering munitions.,locatedAt,is,employedBy,0,noRelation
38,39,"The former offered shelter, while the latter actively tried to push them out of the labor market and sanction settlers who employed them.",locatedAt,,employedBy,0,noRelation
39,40,"Hope Uzodimma, has signed a bill into law establishing a new retirement age of 65 years for teachers employed by the state government. ",managerOf,,employedBy,0,noRelation
40,41,Ongoing investigations are scrutinizing the methods employed by Jared Kushner to secure a substantial $2 billion investment from Saudi Arabia following his departure from the White House.,managerOf,are scrutinizing,employedBy,0,noRelation
41,42,Simon Jordan Ex-Palace Chairmen states Everton fans protest at Goodison during Sky’s live Everton v Man United game is empowering but pointless. Well he would he’s employed by none other than Talksport.,managerOf,states during,employedBy,0,noRelation
42,43,Oh they’re employed…by Soros.,locatedAt,’re employed by,employedBy,0,employedBy
43,44,It is 12:00 CST and Cody Kennedy is still employed by the University of Arkansas,managerOf,is,employedBy,0,noRelation
44,45,Why are they trying to push this agenda? Why can’t people be employed by merit alone?,managerOf,are trying,employedBy,0,noRelation
45,46,You could put me in a gulag and torture me but I'd never post it's hotter by one degree after doing one never,employedBy,torture,noRelation,0,noRelation
46,47,"We invite Elon Musk, who visited the occupation yesterday, to visit Gaza to see the extent of the crimes committed against our people",managerOf,see,noRelation,0,noRelation
47,48,"His mother, Shannon Armenta confirmed that her son was the one at the middle of the controversy on her Facebook page.",locatedAt,mother,noRelation,0,noRelation
48,49, Ten Hag: “I am responsible for this. This is a project. We are going forward and making improvements so that's very hopeful”.,employedBy,am responsible for,noRelation,0,noRelation
49,50,You talk like we some kind of hive mind or something,locatedAt,,noRelation,0,noRelation
