id,input_text,finetune_prediction,pretrained_prediction,pretrained_prediction_cleaned,finetune_accuracy,pretrained_accuracy,sentence_labels
30,Martin Lundstedt is a Swedish businessman and has been President and CEO of the Volvo Group.,locatedAt,is,employedBy,0,0,managerOf
31,"Facebook, now Meta, employs Christopher Thompson as a cybersecurity analyst to ensure user data protection.",employedBy,employs Christopher Thompson,employedBy,1,1,employedBy
32,Alan Duke is a fact-checker employed by Facebook.,locatedAt,is,locatedAt,0,0,employedBy
33,How is Matt Eberflus still employed by the Chicago Bears?,managerOf,is employed by,employedBy,0,1,employedBy
34,"A native from Sadiqabad, Shafiqa Iqbal, who worked as a data engineer in Lahore, was employed by Google.",managerOf,is in,locatedAt,0,0,employedBy
35,Paul Allen is working with Meta for last 15 years.,managerOf,is working for,employedBy,0,1,employedBy
36,Mohammed Ali is employed by paraffin industries during the 2016 placements.,locatedAt,is employed by,employedBy,0,1,employedBy
37,Yann LeCun has less credibility if he is employed by Meta.,employedBy,is employed by,employedBy,1,1,employedBy
38,Your boy is officially employed by Tesla.,managerOf,is employed by,employedBy,0,1,employedBy
39,Apple Inc. employs Michael Brown as a marketing specialist to enhance its brand presence.,managerOf,employs Michael Brown,employedBy,0,1,employedBy
40,"SpaceX, the aerospace manufacturer and space transportation company, has Jonathan White employed as an aerospace engineer for its ambitious projects.",managerOf,employed as,employedBy,0,1,employedBy
41,Tesla disinformer Russ Mitchell is employed by DrPatSoonShiong who owns zinc-air battery startups that directly compete with Tesla.,managerOf,is employed by,employedBy,0,1,employedBy
42,Canadian researchers employed by Tesla have developed a new lithium-ion battery which could power vehicles for over a million miles.,managerOf,have developed,managerOf,0,0,employedBy
43,"Patrick Lee is an architect employed by Urban Design Group, specializing in sustainable architecture. ",locatedAt,is,managerOf,0,0,employedBy
44,Sarah Johnson works as a financial analyst under Exxon Corporation.,managerOf,works as,employedBy,0,1,employedBy
45,Mark Anderson serves as the chief accountant and is on the staff of Financial Services Inc.,managerOf,serves as,employedBy,0,1,employedBy
46,"The sun sets behind the mountains, casting a warm glow across the valley.",managerOf,sets behind,managerOf,0,0,noRelation
47,"Birds chirp in the early morning, greeting the new day with their lively songs.",managerOf,greeting at_time,managerOf,0,0,noRelation
48,"The aroma of freshly baked bread wafts through the air, enticing passersby with its delicious scent.",managerOf,wafts,managerOf,0,0,noRelation
49,"A lone traveler walks along a deserted beach, leaving footprints in the soft sand.",managerOf,is in,managerOf,0,0,noRelation
50,"A cat stretches lazily in the warm sunlight, finding a cozy spot for an afternoon nap.",managerOf,stretches lazily in,managerOf,0,0,noRelation
