,Sentence,manual_answer,pretrained_prediction_cleaned,reverse_sentences
11,"One Blackfriars bridge, also located on the South Bank, topped out in 2017 at 163 metres.",locatedAt,locatedAt,"metres 163 at 2017 in out topped Bank, South the on located also bridge, Blackfriars One."
12,"Bresy is located in the southwestern part of Belarus, bordering the Podlasie.",locatedAt,locatedAt,"Podlasie the bordering Belarus, of part southwestern the in located is Bresy."
13,"Amsterdam is located in the Dutch province of North Holland,[13]",locatedAt,locatedAt,"Holland,[13 North of province Dutch the in located is Amsterdam."
14,"The Kocatepe Mosque is the largest mosque in Ankara, Turkey.",locatedAt,noRelation,"Turkey Ankara, in mosque largest the is Mosque Kocatepe The."
15,Julie Sweet is chief executive officer (CEO) of Accenture.,managerOf,noRelation,Accenture of (CEO) officer executive chief is Sweet Julie.
16,Simon Daniel Weaver is an English football manager and former player who is manager of League Two side Harrogate Town.,managerOf,noRelation,Town Harrogate side Two League of manager is who player former and manager football English an is Weaver Daniel Simon.
17,Pep Guardiola is a Spanish professional football manager and former player who is currently managing Premier League club Manchester City.,managerOf,noRelation,City Manchester club League Premier managing currently is who player former and manager football professional Spanish a is Guardiola Pep.
18,"Samsung Electronics is overseen by Kim Ki-nam, who holds the position of Chief Executive Officer and President of the organization.",managerOf,noRelation,"organization the of President and Officer Executive Chief of position the holds who Ki-nam, Kim by overseen is Electronics Samsung."
19,"Acme Innovations, a technology startup, is managed by Sarah Chang, who serves as the Chief Executive Officer.",managerOf,managerOf,"Officer Executive Chief the as serves who Chang, Sarah by managed is startup, technology a Innovations, Acme."
20,"Nexus BioTech, a biopharmaceutical company, is directed by Dr. Emily Chen, who serves as the Chief Operating Officer.",managerOf,managerOf,"Officer Operating Chief the as serves who Chen, Emily Dr. by directed is company, biopharmaceutical a BioTech, Nexus."
21,"CipherSoft, a cybersecurity firm, is overseen by Michael Turner, who holds the role of Chief Security Officer and Managing Director.",managerOf,managerOf,"Director Managing and Officer Security Chief of role the holds who Turner, Michael by overseen is firm, cybersecurity a CipherSoft,."
22,"Novus Analytics, a data analytics startup, is managed by Olivia Bennett, who is the Chief Data Scientist and CEO.",managerOf,noRelation,"CEO and Scientist Data Chief the is who Bennett, Olivia by managed is startup, analytics data a Analytics, Novus."
23,"FusionX Labs, an augmented reality development company, is led by Alex Foster, the Chief Technology Officer and Founder.",managerOf,noRelation,"Founder and Officer Technology Chief the Foster, Alex by led is company, development reality augmented an Labs, FusionX."
24,"Quantum Solutions is led by Andrew Patel, who serves as the Operations Manager handling the company's day-to-day operations.",managerOf,noRelation,"operations day-to-day company's the handling Manager Operations the as serves who Patel, Andrew by led is Solutions Quantum."
25,"Horizon Dynamics is overseen by Brandon Wong, who holds the position of Chief Executive Officer and President of the organization",managerOf,managerOf,"organizatio the of President and Officer Executive Chief of position the holds who Wong, Brandon by overseen is Dynamics Horizon."
26,"Razorpay is directed by Harshil Mathur, who holds the position of Chief Executive Officer.",managerOf,managerOf,"Officer Executive Chief of position the holds who Mathur, Harshil by directed is Razorpay."
27,"Zomato is managed by Deepinder Goyal, who acts as the Chief Executive Officer.",managerOf,managerOf,"Officer Executive Chief the as acts who Goyal, Deepinder by managed is Zomato."
28,"King, the creator of Candy Crush, is managed by Humam Sakhnini, who acts as the President of the organization.",managerOf,managerOf,"organization the of President the as acts who Sakhnini, Humam by managed is Crush, Candy of creator the King,."
29,Martin Lundstedt is a Swedish businessman and has been President and CEO of the Volvo Group.,managerOf,employedBy,Group Volvo the of CEO and President been has and businessman Swedish a is Lundstedt Martin.
30,"Facebook, now Meta, employs Christopher Thompson as a cybersecurity analyst to ensure user data protection.",employedBy,employedBy,"protection data user ensure to analyst cybersecurity a as Thompson Christopher employs Meta, now Facebook,."
31,Alan Duke is a fact-checker employed by Facebook.,employedBy,locatedAt,Facebook by employed fact-checker a is Duke Alan.
32,How is Matt Eberflus still employed by the Chicago Bears?,employedBy,employedBy,Bears Chicago the by employed still Eberflus Matt is How.
33,"A native from Sadiqabad, Shafiqa Iqbal, who worked as a data engineer in Lahore, was employed by Google.",employedBy,locatedAt,"Google by employed was Lahore, in engineer data a as worked who Iqbal, Shafiqa Sadiqabad, from native A."
34,Paul Allen is working with Meta for last 15 years.,employedBy,employedBy,years 15 last for Meta with working is Allen Paul.
35,Mohammed Ali is employed by paraffin industries during the 2016 placements.,employedBy,employedBy,placements 2016 the during industries paraffin by employed is Ali Mohammed.
36,Yann LeCun has less credibility if he is employed by Meta.,employedBy,employedBy,Meta by employed is he if credibility less has LeCun Yann.
37,Your boy is officially employed by Tesla.,employedBy,employedBy,Tesla by employed officially is boy Your.
38,Apple Inc. employs Michael Brown as a marketing specialist to enhance its brand presence.,employedBy,employedBy,presence brand its enhance to specialist marketing a as Brown Michael employs Inc. Apple.
39,"SpaceX, the aerospace manufacturer and space transportation company, has Jonathan White employed as an aerospace engineer for its ambitious projects.",employedBy,employedBy,"projects ambitious its for engineer aerospace an as employed White Jonathan has company, transportation space and manufacturer aerospace the SpaceX,."
40,Tesla disinformer Russ Mitchell is employed by DrPatSoonShiong who owns zinc-air battery startups that directly compete with Tesla.,employedBy,employedBy,Tesla with compete directly that startups battery zinc-air owns who DrPatSoonShiong by employed is Mitchell Russ disinformer Tesla.
41,Canadian researchers employed by Tesla have developed a new lithium-ion battery which could power vehicles for over a million miles.,employedBy,managerOf,miles million a over for vehicles power could which battery lithium-ion new a developed have Tesla by employed researchers Canadian.
42,"Patrick Lee is an architect employed by Urban Design Group, specializing in sustainable architecture. ",employedBy,managerOf,"architecture. sustainable in specializing Group, Design Urban by employed architect an is Lee Patrick."
43,Sarah Johnson works as a financial analyst under Exxon Corporation.,employedBy,employedBy,Corporation Exxon under analyst financial a as works Johnson Sarah.
44,Mark Anderson serves as the chief accountant and is on the staff of Financial Services Inc.,employedBy,employedBy,Inc Services Financial of staff the on is and accountant chief the as serves Anderson Mark.
45,"The sun sets behind the mountains, casting a warm glow across the valley.",noRelation,managerOf,"valley the across glow warm a casting mountains, the behind sets sun The."
46,"Birds chirp in the early morning, greeting the new day with their lively songs.",noRelation,managerOf,"songs lively their with day new the greeting morning, early the in chirp Birds."
47,"The aroma of freshly baked bread wafts through the air, enticing passersby with its delicious scent.",noRelation,managerOf,"scent delicious its with passersby enticing air, the through wafts bread baked freshly of aroma The."
48,"A lone traveler walks along a deserted beach, leaving footprints in the soft sand.",noRelation,managerOf,"sand soft the in footprints leaving beach, deserted a along walks traveler lone A."
49,"A cat stretches lazily in the warm sunlight, finding a cozy spot for an afternoon nap.",noRelation,managerOf,"nap afternoon an for spot cozy a finding sunlight, warm the in lazily stretches cat A."
